,tradedate,CI005921.WI,CI005920.WI,CI005919.WI,CI005918.WI,CI005917.WI,000300.SH,000905.SH,000852.SH,881001.WI,CI005030.WI,CI005029.WI,CI005028.WI,CI005027.WI,CI005026.WI,CI005025.WI,CI005024.WI,CI005023.WI,CI005022.WI,CI005021.WI,CI005020.WI,CI005019.WI,CI005018.WI,CI005017.WI,CI005016.WI,CI005015.WI,CI005014.WI,CI005013.WI,CI005012.WI,CI005011.WI,CI005010.WI,CI005009.WI,CI005008.WI,CI005007.WI,CI005006.WI,CI005005.WI,CI005004.WI,CI005003.WI,CI005002.WI,CI005001.WI
37,2006-01-24,880.1058,901.7205,962.1474,870.6581,1114.0404,999.093,960.353,903.843,740.2305,,786.9919,922.716,816.746,897.7808,977.5414,889.2771,1004.6682,1018.4772,1259.378,864.7078,1065.5756,887.5146,795.9108,913.3068,949.1571,1006.573,849.0514,1301.5714,982.0782,926.3512,792.9533,900.3474,803.4343,988.0757,796.5761,845.2038,1150.0679,736.3096,965.3036
38,2006-01-25,880.5407,904.4665,966.8684,871.527,1137.2683,1009.597,957.787,887.718,744.0108,,779.8486,926.6894,808.1195,911.1017,944.5035,889.9866,1028.6797,1038.4052,1284.5816,865.1569,1086.1833,884.0846,789.8433,906.0299,945.9987,1012.3877,856.7754,1306.514,991.8917,925.339,794.2203,895.9019,800.601,986.9258,797.8479,846.1663,1162.7517,727.3303,977.9852
39,2006-02-06,893.0354,915.4092,988.9766,894.8783,1167.5735,1033.234,980.91,909.473,763.8303,,790.246,931.3157,818.4868,899.0571,961.6636,905.1168,1065.8315,1053.0677,1305.585,890.8918,1116.9517,896.8414,800.4634,920.7019,961.5582,1040.6964,874.3965,1314.0648,1007.4606,943.1126,809.5764,928.5105,818.4986,1004.8094,821.4489,863.0817,1244.1416,756.7939,1002.2053
40,2006-02-07,890.7235,912.1765,989.1089,896.6403,1149.5722,1029.937,981.574,915.254,762.7778,,787.7361,947.5355,820.2193,878.4812,925.1589,900.5804,1050.1622,1032.3259,1283.8604,906.0881,1125.8591,892.9626,799.0732,919.9768,957.794,1038.7306,890.0479,1285.8127,983.3813,954.7128,803.261,938.5749,813.2598,1007.8186,818.1075,870.0225,1259.6555,759.0666,993.8044
41,2006-02-08,900.7268,911.4313,994.7387,896.6149,1152.1588,1033.072,982.943,924.705,765.2808,,791.4768,949.2295,819.0748,875.8837,930.2682,907.6528,1053.0473,1029.4117,1286.2305,907.1576,1128.3748,907.0473,803.0345,931.8032,957.058,1041.7501,896.8616,1290.6806,992.7373,955.9078,807.1553,940.6649,822.7273,1003.3657,818.3203,883.1113,1200.0363,765.3203,1004.1365
42,2006-02-09,888.0725,898.4643,980.6276,885.9194,1130.8996,1019.599,969.577,914.397,754.3947,,779.7465,936.1634,815.1171,855.3649,905.7879,900.1415,1027.8527,1021.2917,1271.5881,888.3635,1112.3674,897.6747,785.5036,919.6209,946.5962,1026.1124,890.8327,1288.3868,968.4866,937.9145,800.5886,935.2442,808.4787,987.1101,813.7683,866.3445,1202.0469,760.5414,982.7747
43,2006-02-10,898.5172,904.7444,992.7024,894.812,1140.4078,1032.337,980.801,925.088,763.7418,,792.3596,940.9972,772.2003,865.8107,914.2726,910.0464,1040.9868,1031.2272,1277.118,901.5612,1143.9662,902.968,791.889,931.7822,949.8538,1029.9518,894.3613,1306.9557,979.5628,949.2632,805.6778,949.1797,816.1873,997.3839,821.3433,879.3196,1196.1407,796.3514,996.2693
44,2006-02-13,895.8961,897.8176,1000.9188,891.0943,1137.4455,1031.614,977.396,926.473,762.3094,,789.4947,928.0571,759.9985,857.5336,900.2481,909.272,1033.1398,1047.6541,1278.3212,899.8378,1164.9149,915.9551,793.1766,931.074,949.8388,1039.4789,882.6635,1281.877,973.5784,951.3175,799.4219,945.2733,813.6286,990.0366,823.6552,879.0758,1141.4167,814.5632,994.4859
45,2006-02-14,897.7333,905.0205,1009.0026,894.093,1153.1649,1038.531,986.056,934.089,768.0939,,788.5437,923.5927,765.938,861.2046,927.4452,909.0218,1054.5699,1057.3862,1284.4008,908.3309,1177.457,924.8135,793.9865,935.9315,943.9873,1046.3202,887.8416,1316.5455,983.9873,951.8514,805.6836,953.2816,821.5021,997.4265,819.241,880.1113,1170.2334,802.6202,1007.8362
46,2006-02-15,895.8504,902.9714,1007.7386,895.6083,1170.2009,1041.66,986.161,935.766,769.4458,,787.7298,913.7545,768.0258,865.0476,922.7201,908.9342,1070.4153,1078.6274,1300.1935,905.8503,1172.0192,921.4667,791.6294,939.8539,941.8974,1048.0195,888.0375,1299.9404,979.3392,955.4685,805.935,950.2375,823.0679,993.3116,817.4431,875.7869,1169.2729,801.9853,1041.3662
47,2006-02-16,873.0494,877.924,983.2224,871.9849,1154.0636,1020.121,958.59,913.996,748.5735,,763.9016,885.4788,754.1531,846.6822,899.4468,887.6173,1045.0086,1052.4205,1298.4424,879.1121,1150.5527,888.8516,766.7776,926.8575,897.6386,1022.3746,860.7855,1257.7604,939.5484,930.7747,784.8244,929.7023,787.1566,970.0563,800.7778,852.4566,1143.9001,768.3907,1022.2653
48,2006-02-17,869.6265,867.4788,977.6564,864.1637,1169.5386,1020.368,949.993,907.709,745.5081,,761.3741,878.3905,741.6301,837.0963,906.536,884.5562,1060.905,1032.4754,1315.4594,870.5688,1146.0843,879.1786,763.5425,921.7747,872.9334,1022.6737,845.0813,1237.9577,930.7373,922.0278,778.346,927.8057,784.7827,963.9384,800.7423,847.6831,1125.0849,758.4316,1010.5787
49,2006-02-20,864.5032,859.9606,975.6808,862.2138,1178.0491,1021.639,943.765,899.591,744.9189,,756.6247,879.4886,736.4788,835.9944,879.4378,877.1335,1074.7589,990.175,1324.4629,871.8193,1142.8297,871.566,763.2755,924.5102,867.9299,1017.5374,845.5508,1204.1117,924.7255,918.5231,774.9079,927.042,782.152,957.5996,804.8214,841.3653,1119.0855,757.8002,1007.7711
50,2006-02-21,875.2888,878.7426,986.5336,878.4865,1195.6161,1038.816,960.017,918.339,759.7895,,766.0887,890.8395,752.3033,863.0572,906.0329,884.0464,1085.6585,1021.3139,1350.9717,882.5535,1160.361,879.0256,769.2702,933.9344,881.6842,1029.0611,861.3641,1238.0483,945.102,928.5049,784.801,938.921,794.9466,969.1153,829.2515,852.7321,1146.4306,776.5952,1022.2343
51,2006-02-22,873.1666,874.1943,987.1105,878.2452,1191.7897,1037.885,959.947,919.563,759.5688,,765.9398,884.1601,748.6199,858.7698,890.9612,882.8854,1081.0128,1012.7086,1348.7624,892.4386,1163.6377,876.1679,770.012,934.41,872.6499,1030.3338,858.4019,1225.3847,940.327,926.6822,789.4132,939.1512,791.066,964.147,834.2683,851.6305,1144.3882,780.467,1012.5039
52,2006-02-23,868.4029,871.4107,988.9827,880.3281,1202.8438,1041.373,958.722,920.871,761.8315,,764.9346,884.8967,742.9163,854.983,889.6242,880.3796,1078.6376,1035.3167,1376.7991,894.3297,1175.2721,875.0823,771.4957,932.4173,871.8667,1032.6627,876.1959,1219.3043,934.2839,922.566,789.1527,946.3618,788.4062,966.6104,835.0536,845.8433,1140.7138,777.645,1016.1071
53,2006-02-24,876.6416,880.3863,995.1075,886.0156,1213.7115,1049.444,967.163,926.622,768.8842,,768.3541,901.6716,745.6744,861.1642,889.218,890.0416,1091.8562,1033.0963,1385.6479,893.319,1184.5889,886.0758,777.9562,933.6193,879.6197,1037.6869,879.3803,1235.7516,949.8971,927.7127,795.9773,958.6262,792.403,981.3687,840.2164,853.1602,1142.6985,777.5221,1019.7024
54,2006-02-27,877.0945,876.096,992.1749,881.0841,1186.1736,1047.845,963.379,926.476,764.33,,772.7066,904.6974,741.7899,855.9615,889.0073,889.1004,1071.5361,1016.6585,1349.2017,900.6726,1188.1964,884.6034,773.1989,934.3408,873.8105,1022.0213,872.9426,1230.3968,953.4429,923.3404,794.8443,953.8283,796.647,979.364,830.6424,850.195,1137.533,765.7578,1027.3452
55,2006-02-28,874.8031,877.5329,995.0556,882.9736,1194.5321,1053.01,964.726,929.381,767.4103,,775.1083,916.978,748.0258,855.4799,913.5217,887.5446,1069.9767,1027.8508,1369.3769,903.4145,1197.8299,884.6515,776.2443,938.3129,870.6747,1023.8308,877.0516,1249.6087,964.989,934.5815,791.0277,958.2637,795.8348,977.8496,834.8044,847.8659,1135.6323,753.8469,1022.936
56,2006-03-01,880.9917,884.6688,1000.8428,885.8195,1197.7457,1056.619,972.067,936.7,773.1561,,780.7893,924.6065,750.4604,855.6999,927.7868,896.6174,1077.7724,1042.6914,1363.4978,904.769,1200.1115,894.3067,777.9041,946.7356,877.152,1034.9682,888.2351,1274.5982,975.4676,938.7272,788.1504,972.6124,804.8711,982.1951,823.7133,854.6216,1145.7707,752.499,1029.7293
57,2006-03-02,852.0255,868.8927,991.2283,870.9561,1170.4998,1038.666,953.369,917.95,757.1497,,766.8818,919.276,733.8218,844.4016,920.527,851.1592,1055.2652,1014.4696,1331.3646,890.0009,1208.5044,881.0313,767.3162,938.4473,862.0759,1018.8425,868.1502,1243.3797,951.7452,926.1905,777.2118,937.372,788.1634,971.8855,805.8761,840.6987,1132.9531,731.4564,1017.6736
58,2006-03-03,857.4053,861.8907,990.3469,874.3838,1167.2196,1041.677,954.457,918.007,759.2777,,769.3176,850.2495,729.9399,840.4098,917.5406,857.2552,1057.3405,1011.2874,1320.6872,884.8551,1207.3194,879.877,767.3737,938.317,864.646,1018.5585,868.471,1253.9431,947.7851,921.958,779.2647,935.7389,785.9366,973.0057,811.9438,847.5178,1141.2026,737.4283,1036.665
59,2006-03-06,856.0578,860.1455,988.712,869.7539,1161.6796,1038.873,952.351,915.66,756.7498,,767.2856,838.0811,721.5096,858.2218,902.6696,853.0675,1047.2056,1008.2452,1320.2967,881.9802,1204.0522,878.5466,759.3294,936.3379,857.564,1020.0431,857.4798,1248.9626,946.6936,918.2101,778.2121,939.3451,785.3171,971.8132,815.7611,840.8294,1127.1797,728.138,1031.2039
