,price_date,beta,book_to_price_ratio,earning_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size
148,2016-08-11,0.0028397798,0.0004024411,0.0003804306,-0.0004306166,4.87326e-05,-0.000734469,4.39784e-05,-0.001494011,-3.87616e-05,-0.000392202
149,2016-08-12,0.0005876523,0.0013065314,0.0006284998,-0.0011436498,-1.5083e-06,-0.0002807479,-0.0004066585,-0.000604126,-0.000758301,-0.0010967513
150,2016-08-15,-0.0035558951,0.000634823,0.0015736425,-0.0022078688,0.0003684473,0.0001703881,-7.39417e-05,-0.0003761627,-0.000266459,0.0008432634
151,2016-08-16,-0.003861383,-0.0018780264,0.0001005593,-0.0005616861,-0.0001215431,-0.0001517765,-0.0015869497,0.0004314641,-0.0005720356,-0.0017220382
152,2016-08-17,0.0001957045,-0.0004899262,-0.0005219833,-0.0007309046,-0.0003026636,-0.0008320947,0.000253877,0.0002983123,-0.0002997118,-0.0022328179
153,2016-08-18,0.0014586264,-0.0001076937,-0.0005821012,0.0004368566,-0.0003005748,-0.000716205,-0.0017804096,-0.0008230844,0.0005203676,-0.0025210201
154,2016-08-19,0.0019126304,-0.0007225833,0.0008028673,0.0008673509,0.000367815,-0.000391917,-0.0001270887,7.08934e-05,0.0008863413,-0.0015227604
155,2016-08-22,0.003757399,7.832e-06,0.0011539369,0.0011057831,-0.0005108031,-0.0006521687,3.99877e-05,-0.0023540409,0.000586812,-0.0028563821
156,2016-08-23,0.001052047,-0.0014648585,-0.0004617833,-0.000664937,0.0001759581,-0.0007501622,-0.0011650937,-0.0001280373,-0.0012572319,-0.0023048291
157,2016-08-24,0.0009454823,-0.0012549567,6.96312e-05,0.0004445928,-0.0012762136,-0.000783861,0.0008950476,-0.0015402739,0.0009518648,-0.0026592449
158,2016-08-25,0.0017622505,-0.0015847434,0.0003266787,0.0003059556,-0.0013448032,-0.0008680624,0.0007092291,-0.0001090703,-0.0010372955,-0.0016384601
159,2016-08-26,0.0016146625,-0.0012707026,0.0013829263,0.0005002194,-0.0002421999,-0.0004344762,-0.0008155087,-0.0013571782,0.0012759125,-0.003598082
160,2016-08-29,0.0011226562,0.0004060247,0.0004505901,0.0007717673,0.0001196956,6.03796e-05,-0.0007958655,-0.0019164214,-0.0003228021,-0.0037989622
161,2016-08-30,0.0006902226,-0.0004941943,-0.0002650393,-0.0005597454,-0.0009428155,-0.0005004321,-0.0002588655,-0.0002572096,2.1646e-05,-0.0012354559
162,2016-08-31,-0.0006367006,-0.0007062306,-5.925e-07,-0.0015209106,0.0005556896,-0.0004173895,0.0003192643,-0.0005382249,-0.0011653501,-0.0011580975
163,2016-09-01,0.0034417972,-0.0015344141,0.0002416344,0.0002430533,-0.0007237602,-0.000888669,-4.55649e-05,-0.0015466424,0.0014700292,-0.0023342225
